DS100;Breite;Laenge
DSCF;50.38957;12.347044
HWTT;52.727291;10.723174
EBK;51.848962;6.865279
FSTM;50.327056;9.010123
KST.KST P;50.79448;6.217478
FO;50.099264;8.760743
FAFD;50.750962;9.264297
KAK;50.684418;7.638257
HBGM;51.86737;10.020236
TBG;48.278469;8.850307
HBAS;52.847388;8.739924
KBEE;50.951706;6.646302
RVLE;48.052772;8.528553
SBI;49.26189;7.282011
EBP.EBLA;51.477992;7.323645
FBOD;49.929585;8.312491
FBUE.FBUP;49.645125;8.459072
FDI;49.90369;8.839795
KDI;50.98542;7.542483
HVBG;51.955034;10.562174
NDB;49.25211;10.298523
RVL;48.058022;8.465261
FWAB;51.103134;9.35804
REA;49.465768;8.984152
SEG;49.802029;6.685808
SEI;49.266663;7.321916
SENK;49.489933;7.899501
REP;49.136001;8.914663
RFHM;49.501493;8.205192
FGAL;49.961432;8.016065
RGE;49.225402;8.365282
RWE;49.553302;8.665351
SWRR;49.369521;7.085936
SWIH;49.973121;6.943557
TGL;48.894221;10.128254
RGZ;49.005975;8.492941
EGRN;52.215107;7.022436
FWR;50.565631;8.503819
FWH;49.833425;8.940854
NGUN;49.120444;10.755463
FHG;50.741352;8.220657
MHGZ;47.64681;9.827382
KHI;51.16702;6.922006
THF;48.482485;8.724052
KHOK;51.103293;6.466316
EHZW;51.504767;7.619647
RVLH;48.060175;8.546922
FHUG;50.478055;8.89279
SKU;49.71034;6.596854
KAW.KAW P;50.78036;6.070715
KARE.KAREP;50.770202;6.116475
KKEM;51.367564;6.425549
MABG;48.819456;11.84662
RAH;48.63399;8.065324
HACH;53.01599;9.030447
HAMR;52.390479;7.94216
AACW;54.314913;9.964024
MAD;48.840759;11.211443
NADM;49.474944;10.687041
RADN;49.42149;9.392754
TAD;49.403123;9.395127
EKIR;50.806576;7.880509
KKSE;51.226689;6.593977
TAF;49.137832;9.379012
KKMI;51.219504;6.617246
MAGD;47.765606;11.824472
AABG;53.564111;9.531244
FKIH;50.823779;8.921399
RA;47.833224;8.134349
EAHS;52.081681;7.016453
KKAI;51.217023;6.629881
HSCG;52.869058;10.890386
EAHL;51.761062;7.895488
HAHO;52.899321;8.209429
HALT;52.376062;9.904613
HSDK;52.874209;10.761416
AAHR;53.669171;10.236206
KAH;50.546544;7.107071
KAHM;50.544228;7.094229
MAIC;48.417315;12.398163
MAI;48.461117;11.122721
RFMU;48.012918;7.832668
TAI;47.887884;10.07494
TTUN;47.992605;8.823737
FATC;51.36286;9.434061
MAIN;47.815033;12.964501
EABT;51.914576;7.528197
RAL;47.592235;8.131774
AAL;54.14632;9.292151
RAR;49.21847;8.024464
FAG.FAGB;49.771375;8.116579
FALS;50.545716;8.434869
TAE;48.21029;9.026962
TALO;48.222859;8.917316
TALT;48.213638;8.95462
KALK;51.435759;6.412542
NKN;49.732497;10.155214
AAHG;53.688482;10.251786
TALD;48.095845;8.713033
MALH;48.201313;10.383631
HALF;51.981417;9.817779
HALG;52.25188;9.966472
HALI;52.403462;9.979349
SALG;49.548643;7.461841
FADD;50.743811;8.185486
KALI;50.711016;7.019831
RAB;47.714464;9.068852
NALB;49.262131;11.212573
TALL;48.327734;9.722382
KALP;51.583392;6.518041
RALP;48.343809;8.398251
KADA;50.870517;6.156661
FBL;49.688881;8.450413
NADW;49.391146;11.341467
SAZ;49.727495;7.817189
FAHM;49.765528;8.342462
KADB;50.876588;6.140586
TACH;48.720393;9.382384
NAD;49.390006;11.35353
KADP;50.855749;6.197075
NAVE;49.454322;10.972363
AAW;53.59793;10.035415
EALN;51.301981;7.668808
KALT;50.515652;6.989707
MALT;47.648365;11.017375
SAB;49.786857;7.830745
EABG;52.052258;7.481303
FABL;51.165227;9.445462
KKEL;50.867527;6.167354
HHUD;53.109429;8.460956
MANE;48.293572;11.901744
FATF;50.450898;9.849726
AAT;53.898696;10.355554
KMAD;50.861978;6.188454
FAHN;51.34354;9.225737
EA;51.104132;8.071517
MATM;47.999817;12.536027
NMS;49.15436;10.720493
EASE;50.783837;7.992398
FAST;50.283398;8.943977
MASI;48.161191;10.109983
NALW;49.715679;12.16487
RAT;47.859392;8.114113
MAHB;48.236374;11.063003
FAT;49.923332;8.890906
SLKG;49.653709;7.59071
FAMO;51.067275;9.610756
MAT;48.221242;12.67479
MAMT;48.384918;11.255133
FAZS;49.738134;8.118732
TAT.TATP;47.930711;9.551478
MATS;47.48855;10.280907
TATN;47.841214;9.793037
SLCH;49.408332;6.907231
NAM;49.447616;11.862902
EAML;51.883662;7.598897
ELPP;51.670687;8.348785
NAMB;49.645609;9.223147
MAPF;48.253949;12.410919
TAM;48.578328;9.872965
HAMI;52.369161;9.861109
KANM;51.330748;6.781857
FANG;50.63077;9.44726
RAN;49.205386;7.966149
KANR;51.285536;6.45023
SLN;49.901372;7.899887
HLGW;52.977881;9.194981
NAWN;49.411692;10.930396
FAZ;50.845731;8.85959
MAK;48.434739;13.021996
EAPH;51.892139;7.426334
RAP.RAPP;48.541461;7.97319
EARE;51.481163;7.727176
FAF;50.406403;8.211079
KARL;50.597676;6.786608
FARM;49.808372;8.074113
MANB;48.34132;11.344044
EARB;51.405662;8.067965
NARG;49.274608;12.8116
FAR;51.3816;8.997792
KARS;51.152006;6.206563
NAZ;50.054633;12.197692
FMK;50.00658;8.283174
NAHF;49.974445;9.160416
NASU;49.968465;9.152586
MASC;47.779106;12.325564
EASB;51.782991;7.600749
HASD;53.052179;7.337153
RASH;49.57622;8.161602
AASN;53.368693;10.145564
TAX;48.907359;9.147797
RMF;49.44867;8.580125
FAS;50.304939;8.812462
FAL;50.588657;8.462756
MAG;47.989491;11.993518
FAH;49.985324;7.867355
EAT;51.124644;7.908493
NM;49.706481;9.248467
RWSA;48.718867;8.362349
KMO;51.451147;6.641535
EAWN;51.051785;8.290085
RACH;49.399563;9.223276
FKIR;49.668545;8.016526
MAFE;48.274365;11.894375
TAUF;48.85613;10.317193
RAUG;47.789949;7.586788
MAHA;48.355285;10.900985
MAGM;48.338684;10.886086
MAMS;48.355089;10.892948
MAHZ.MAHZH;48.352977;10.943376
MAOB;48.380772;10.872533
FMSH;49.633666;8.208162
HAUG;53.22089;7.759659
FMT.FMTN;50.444834;7.825333
FAUM;50.400422;8.249249
AAH.AAMS;53.529853;10.314672
FAM;50.113608;8.332093
SAUW;49.903596;6.614525
MAY;47.968762;11.769578
KBA;51.033457;6.274149
MBAE;48.6749376;11.4600921
RBST;49.240196;9.060708
FBCH;50.056101;7.769523
MBCN;48.280159;11.378716
RBH;47.862072;8.399399
EMRY;51.449203;6.852636
MNFR;48.729884;12.19046
NBAB;48.922732;11.994322
MBAI;47.862028;12.004157
RBZB;49.103209;8.002787
KBRE;50.504218;7.304564
MBAK;47.857617;12.013823
HBDG;51.730323;9.03081
RBDH;49.460633;8.170701
FEMS;50.327652;7.728637
FEMW;50.330694;7.706039
TBK;49.2185642;9.21098471
TBWT;49.229848;9.187046
RBGR;48.448618;8.230569
RBDT;49.466416;8.193072
MBHT;48.494606;13.323195
KHGB;50.513676;7.310871
FHO;50.219904;8.620624
KHBD;50.639772;7.219533
NBKI;50.191547;10.079885
FKI;49.738577;9.001539
MBKG;47.668006;11.058204
MBKK;47.670213;11.039181
RBKR;47.919721;7.697632
MNR;48.361318;12.503075
TBLI;48.772578;8.734039
TBMR;49.493647;9.771662
HMDD;52.178192;9.468062
SBMS;49.813426;7.846989
KMUE;50.558914;6.764369
FBNA;50.367904;8.749334
KNEB;50.547765;7.144304
NBNE;50.328127;10.226134
TBN;48.460766;8.896533
HOY;52.205398;8.796523
HBOE;52.197127;8.801723
RBPL;48.428895;8.201948
HPRT;51.974233;9.272719
RBRA;49.237765;9.101529
MBRL;47.731168;12.881825
MBRK;47.718538;12.874001
HSCH;51.581944;10.573211
HBSA;52.062635;10.005595
FBSH;50.418878;8.980381
KSAL;50.205251;7.635481
FSF;50.626935;9.494484
EBSU;52.081628;8.740428
EBSA;51.587168;8.162439
TBSC;47.994033;9.668497
ASCH;53.916276;10.702722
TBSB;48.395566;9.030023
ASB;53.933805;10.308163
FBSO;50.143406;8.504128
FBSD;51.267974;9.968696
APSD;54.30501;8.648041
APO;54.317293;8.614736
NBST;50.365095;11.64677
TBT;48.67847;8.727148
MBT;47.760578;11.57394
HBSK;52.06994;10.018916
FVL;50.188677;8.73946
FVLS;50.178696;8.733477
TBWA;47.925244;9.752274
FBWD;51.119619;9.136091
RBWF;49.229744;9.167297
RBWH;49.242537;9.138753
NBWI;49.5066;10.412942
MBWH;48.005711;10.597875
TBW;47.910258;9.889739
HZWI;53.182547;8.003123
RHEB;48.811907;8.209021
HBAD;52.08916;10.228767
HBDV;53.007872;9.081261
RBB;48.790327;8.190831
RBBL;48.733844;8.146572
RBPK;49.240371;9.113526
MBHM;48.680333;10.809972
AALH;53.490356;10.158735
ABAF;53.56006;9.910778
MBAB;48.018741;11.480027
RBSN;48.504104;8.371868
NBD;49.656147;11.036976
NBAF;49.29044;12.683064
MBDH;48.099256;11.78678
FBAD;50.3473877;7.96760917
TBLH;48.065886;8.759892
TBGS;48.269014;8.846484
RBSS;48.51061;8.375858
SBAL;49.493785;7.166538
EBAV;51.332594;7.863071
RBAM;49.359588;8.783685
HBAN;52.066264;9.75033
HBTF;52.332253;9.417771
HNN;53.588196;7.218913
ABAD.ABAW;53.290469;10.371994
RBRT;49.104118;8.070307
ABAE;53.7282;10.269104
ABAP;53.587458;10.044164
HBNF;52.707587;8.510462
HBNT;52.195498;9.815279
HBAR;52.946837;8.818506
HBGH;52.30489;9.467112
AHEM;53.684081;9.165803
NOF;49.663043;10.071776
RBZE;48.089064;7.94108
NBH;49.191364;11.593033
RBBC;49.073964;8.748153
NBAU;49.98909;10.854115
ABF;53.187474;10.629537
MBYB;48.414412;13.134451
NBEI;49.12147;13.2088017
MBGM;47.720375;12.89507
KBAY;51.011409;6.996675
NBYG;49.95734;11.596683
MBZ;47.6755453;12.0111573
SBE;49.386881;6.688021
KBH;51.758052;6.173479
EBEE;51.92932;8.116159
NBEH;49.481574;11.198498
FBEI;50.359131;8.821022
KOPL.KOPLM;51.066175;7.008775
TBS;48.480974;9.976835
FBEF;51.083076;9.55313
ABE;54.125266;9.356217
RBLN;49.192639;8.297626
MBNB;48.254645;10.09039
RBLH;49.188303;8.29456
RBEL;47.730804;7.557601
TBEM;48.572364;9.273425
MBEN;47.709121;11.403051
SBG;50.010379;7.05803
HBML;52.580993;9.726836
HBEN;52.240733;9.666376
TBEN;48.943614;9.244504
SOTW;49.402337;7.166133
SPSN;49.259218;7.604401
FBAU;49.701557;8.613366
HBTH;52.30985;7.158539
RRZ;47.735873;8.968984
NBE;49.092846;11.807853
MBG;47.626688;12.999058
ERES;51.562965;7.195754
MBE;47.82527;12.592846
TBER;48.576297;10.272879
